run_id,v,Ce,I,I25,duration_min,final_rlinear,initial_rlinear,final_r25,initial_r25,final_ustack,delta_rlinear,v_label,Ce_label
45,2.5,0.1,1.41,1.3528553883942276,89.75,18.6418895105,3.8774381652,10.915746950354611,3.6803638014184403,14.965,14.7644513453,2.5 cm/s,0.1 M
35,3.0,0.1,1.41,1.2942547937912487,89.75,19.6173632257,3.8158281367,11.333039872340427,3.4266823049645385,14.963,15.801535089,3.0 cm/s,0.1 M
37,3.0,0.1,1.52,1.4301440493776052,89.75,20.2662302863,3.7983677464,10.388953894736842,3.4968505460526313,14.964,16.4678625399,3.0 cm/s,0.1 M
39,3.0,0.1,1.66,1.5765081294636074,89.75,19.9507075076,3.7920064868,9.466893469879519,3.541370891566265,14.964,16.158701020800002,3.0 cm/s,0.1 M
41,3.0,0.1,1.76,1.6781883194278902,89.75,19.2205616147,3.8750688731,8.89601297727273,3.649769176136364,14.964,15.3454927416,3.0 cm/s,0.1 M
43,3.0,0.1,1.91,1.8289588340626823,89.75,18.4259258175,3.9972385197,8.174733439790575,3.7627965549738223,14.963,14.428687297800002,3.0 cm/s,0.1 M
23,3.5,0.1,1.41,1.3903268747226742,89.75,5.8372753843,4.3479733977,5.41001475177305,4.247921914893617,7.16,1.4893019866000001,3.5 cm/s,0.1 M
26,3.5,0.1,1.52,1.4163909984624703,89.75,7.4606734287,4.0872070211,6.72671184868421,3.7320203289473683,9.387,3.3734664075999996,3.5 cm/s,0.1 M
29,3.5,0.1,1.66,1.5189363785262657,89.75,10.2743894302,4.2221890827,9.16103595180723,3.7710598554216865,13.848,6.0522003474999995,3.5 cm/s,0.1 M
31,3.5,0.1,1.77,1.615494140411084,89.75,14.5362172556,3.7654100884,9.262016621468927,3.348820564971751,14.957,10.770807167200001,3.5 cm/s,0.1 M
33,3.5,0.1,1.9,1.7380963271280243,89.75,17.9594640536,3.8192382701,8.598606078947368,3.420984157894737,14.963,14.140225783500002,3.5 cm/s,0.1 M
11,2.5,0.2,1.41,1.3313567563994826,89.75,0.5624,0.2143,7.798826531914894,2.968400453900709,10.617,0.3481,2.5 cm/s,0.2 M
13,2.5,0.2,1.52,1.4830136398228189,89.75,0.7587,0.2261,10.026064835526315,3.023573,14.943,0.5326000000000001,2.5 cm/s,0.2 M
15,2.5,0.2,1.67,1.6426175651883108,6.3,0.76,0.2328,9.073459814371258,2.8692010239520958,14.901,0.5272,2.5 cm/s,0.2 M
17,2.5,0.2,1.76,1.722484292117677,30.7333,0.7635,0.2408,8.690544125,2.8011866477272727,14.929,0.5226999999999999,2.5 cm/s,0.2 M
19,2.5,0.2,1.91,1.8568928640871087,13.8333,0.783,0.2681,8.039255434554974,2.8569230366492144,14.916,0.5149,2.5 cm/s,0.2 M
1,3.0,0.2,1.41,1.33444379247033,89.75,0.3174,0.2153,4.281125382978723,2.973523517730496,5.691,0.10210000000000002,3.0 cm/s,0.2 M
3,3.0,0.2,1.52,1.4267209821847604,89.75,0.3436,0.226,4.251943710526316,2.8646105657894734,6.038,0.11760000000000001,3.0 cm/s,0.2 M
5,3.0,0.2,1.67,1.5564855116363603,89.75,0.3981,0.2396,4.46159051497006,2.7574943473053892,6.928,0.1585,3.0 cm/s,0.2 M
7,3.0,0.2,1.76,1.6364938120077734,89.75,0.8567,0.252,9.106099857954545,2.7418374375,14.919,0.6047,3.0 cm/s,0.2 M
9,3.0,0.2,1.91,1.7865160131697095,89.75,0.8321,0.265,8.330826345549738,2.6789572356020943,14.934,0.5670999999999999,3.0 cm/s,0.2 M
